# Scenerio III: m2=500GeV,m3=800GeV
# mu= 650 GeV
# for all of the numbers, unit is in pb
# LO QCD:    301.94985961914062      pb, NLO QCD:   243.34082031250000      pb,NLOW:   236.67661857604980      pb
# Total Cross Section is:   538.62647819519043     

# for M_ttbar distribution
# M_tt(min)                    delta\sigma_LO            delta\sigma_NLOW 
   340.00000000000000        9.0409345452984429        8.0948646993391034     
   360.00000000000000        23.445357246731078        19.047081299983528     
   380.00000000000000        26.808591907426802        21.666243491937610     
   400.00000000000000        26.649195696434379        21.187717026997490     
   420.00000000000000        25.024111502381530        20.629172391112576     
   440.00000000000000        22.763097897884776        17.779656000108194     
   460.00000000000000        20.318155525253186        15.516933539455826     
   480.00000000000000        17.958704906249739        14.123553409620111     
   500.00000000000000        15.748439407574928        11.754472847744248     
   520.00000000000000        13.760043705160227        10.493861422424164     
   540.00000000000000        12.032870544407276        9.0438133748911138     
   560.00000000000000        10.464980599474108        8.1456623147136540     
   580.00000000000000        9.1374012596371568        7.1151334202362140     
   600.00000000000000        7.9390423533758030        5.9567748913521346     
   620.00000000000000        6.9436157954934528        5.3946454700994986     
   640.00000000000000        6.0949446884694067        4.7434405016598200     
   660.00000000000000        5.3052141392268526        4.1080028906955679     
   680.00000000000000        4.6546564291886252        3.6116358404859468     
   700.00000000000000        4.0945998766473028        3.0452730163866044     
   720.00000000000000        3.5991280162182351        2.7774663300030742     
   740.00000000000000        3.1763100046349892        2.3518419422836985     
   760.00000000000000        2.7941626844818996        2.1527594140591537     
   780.00000000000000        2.4885267140976524        1.8535090700828794     
   800.00000000000000        2.1886902565962343        1.6886528449113787     
   820.00000000000000        1.9474080433190906        1.4735377219581320     
   840.00000000000000        1.7231735860595743        1.3086183844804520     
   860.00000000000000        1.5417848867104333        1.2176551570599603     
   880.00000000000000        1.3785441578816608        1.0041294845701481     
   900.00000000000000        1.2221328271272791       0.93661488380104041     
   920.00000000000000        1.1027605557206619       0.86303744015455208     
   940.00000000000000       0.97995283940716926       0.71333126672486880     
   960.00000000000000       0.87630347477327764       0.66509913670278065     
   980.00000000000000       0.79268516687972113       0.57223199319299956   

#  ===========================================
# for transverse momentum distribution of top
# p_T(min)                    delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   60.000000000000000        37.268059197520927        29.385472423590020     
   80.000000000000000        37.834219394584323        30.292029399170055     
   100.00000000000000        34.707522401114240        28.722756302271272     
   120.00000000000000        29.650013528448554        22.539528975848061     
   140.00000000000000        24.029697530054541        18.081829701445784     
   160.00000000000000        18.832230048906879        14.222564810339966     
   180.00000000000000        14.429575039888919        10.583096191149410     
   200.00000000000000        10.858508009884549        8.1111469948512305     
   220.00000000000000        8.1247047538297359        6.0522575421506870     
   240.00000000000000        6.0702839027102629        4.4393578547115373     
   260.00000000000000        4.5279079119000123        3.3672681752147264     
   280.00000000000000        3.3999227273576973        2.5358495286627054     
   300.00000000000000        2.5530755912952059        1.8301405948697225     
   320.00000000000000        1.9329666084704837        1.3748821158047937     
   340.00000000000000        1.4729628973443889        1.0514711411119229     
   360.00000000000000        1.1319870050200118       0.78734313362511399     
   380.00000000000000       0.86969451813697640       0.61275602602709089     
   400.00000000000000       0.67579067327926456       0.46300549899422322     
   420.00000000000000       0.53108443073023404       0.35278078003402663     
   440.00000000000000       0.41771807985953402       0.27521367185809664     
   460.00000000000000       0.32986601753053080       0.22125408899740628     
   480.00000000000000       0.26153426554113107       0.17547506325252785     

#  ===========================================
# for PT_tt 
# pT_tt(min)                  delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000        302.03908514166790        112.81801601982984     
   50.000000000000000        0.0000000000000000        68.229507828311611     
   100.00000000000000        0.0000000000000000        25.990730525869363     
   150.00000000000000        0.0000000000000000        12.558326067397392     
   200.00000000000000        0.0000000000000000        6.7830882016724079     
   250.00000000000000        0.0000000000000000        3.9075553476177598     
   300.00000000000000        0.0000000000000000        2.3450367824264591     
   350.00000000000000        0.0000000000000000        1.4476779392583050     
   400.00000000000000        0.0000000000000000       0.91831248337283511     
   450.00000000000000        0.0000000000000000       0.59828919680459236     

#  ===========================================
# for rapidity distribution of top 
# y(min)                     delta\sigma^t_{LO QCD}      delta\sigma^t_{NLOW}
  -3.0000000000000000       3.9672156913698626        3.4045938403777773          
  -2.5000000000000000       10.626027351706478        8.9719841747137803          
  -2.0000000000000000       20.141677638668810        15.907796991633605          
  -1.5000000000000000       30.678376101616685        24.052323044808784          
  -1.0000000000000000       39.814211850952603        30.948304910508202          
 -0.50000000000000000       44.992425444096391        34.378672480890742          
   0.0000000000000000       44.970280551175271        34.690919813000171          
  0.50000000000000000       39.769975563875619        30.578137949219425          
   1.0000000000000000       30.657144909357275        23.818658798545346          
   1.5000000000000000       20.152634833884154        16.068024018302914          
   2.0000000000000000       10.621956037468953        8.7692211094677486          
   2.5000000000000000       3.9710084911785772        3.5380035260988598     


#  ===========================================
# for rapidity distribution of anti-top 
# y(min)                     delta\sigma^tbar_{LO QCD}   delta\sigma^tbar_{NLOW}
  -3.0000000000000000       3.9723696478577830        3.4372631358808294     
  -2.5000000000000000       10.597257690115175        8.6576419182322812     
  -2.0000000000000000       20.176049075129750        16.176419184486647     
  -1.5000000000000000       30.698031949850588        23.083141654905479     
  -1.0000000000000000       39.724728286330958        30.842475675230130     
 -0.50000000000000000       45.020175043735698        34.902347989928074     
   0.0000000000000000       45.051150405270185        35.608388607084294     
  0.50000000000000000       39.711210545845631        30.539848458516122     
   1.0000000000000000       30.679634602582215        24.014452023372652     
