# Scenerio I: m2=550GeV,m3=510GeV
# mu= 132.5 GeV
# for all of the numbers, unit is in pb
# LO QCD:    160.01971435546875      pb, NLO QCD:   59.520507812500000      pb,NLOW:   57.502393722534180      pb
# Total Cross Section is:   217.52210807800293     

# for M_ttbar distribution
# M_tt(min)                   delta\sigma_LO            delta\sigma_NLOW    
   340.00000000000000       5.3398864453461456        2.9039466129660791     
   360.00000000000000       13.634861011112442        6.3095234944284231     
   380.00000000000000       15.311592005943080        7.1369107897512087     
   400.00000000000000       15.015029094413277        6.1668699614607645     
   420.00000000000000       13.925690021906313        5.1774249418796705     
   440.00000000000000       12.492790453429016        4.5673995960911338     
   460.00000000000000       11.032268897764279        3.8947728735553913     
   480.00000000000000       9.6393488296001202        3.4922160255646602     
   500.00000000000000       8.3781390422283266        2.7331950273367047     
   520.00000000000000       7.2385287987708118        2.4691593570964745     
   540.00000000000000       6.2398563897549089        2.0155914781998914     
   560.00000000000000       5.3935469457970244        1.7209095681545350     
   580.00000000000000       4.6381585742446045        1.3307932996599161     
   600.00000000000000       4.0062135516074759        1.1589037879729061     
   620.00000000000000       3.4579080062398315        1.0062250364289820     
   640.00000000000000       2.9965139351510879       0.86202492588869439     
   660.00000000000000       2.5858588642176739       0.74089286014438005     
   680.00000000000000       2.2551580108607752       0.61284787023753484     
   700.00000000000000       1.9487784962810257       0.50827274298610903     
   720.00000000000000       1.6989311566585210       0.41536580816906959     
   740.00000000000000       1.4827702119924291       0.36988686853507013     
   760.00000000000000       1.2959598021577949       0.31545443469624290     
   780.00000000000000       1.1328587020906027       0.23219691053524055     
   800.00000000000000      0.99205739244605906       0.23349493064941745     
   820.00000000000000      0.87282660328490425       0.18668822603112981     
   840.00000000000000      0.76824889465897206       0.16686974595673132     
   860.00000000000000      0.67598699463346679       0.15147909672856980     
   880.00000000000000      0.59182371628853803       0.11281959279667067     
   900.00000000000000      0.52564015145949028       0.11326855352858767     
   920.00000000000000      0.46702254866415510        8.8610235571209200E-002
   940.00000000000000      0.41355679911211191        7.4988578843165843E-002
   960.00000000000000      0.36776403642360750        6.7644621539424896E-002
   980.00000000000000      0.32506115867200691        5.3978636031547428E-002


#  ===========================================
# for transverse momentum distribution of top
# p_T(min)                  delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   60.000000000000000      20.474507373139630        8.7957580588376736     
   80.000000000000000      20.575408567483962        8.5321112597460864     
   100.00000000000000      18.653340460387891        6.6573852770447584     
   120.00000000000000      15.754201848197388        5.2205920958097112     
   140.00000000000000      12.600199711532607        3.9153731975911001     
   160.00000000000000      9.7329930003733232        2.9337903768503111     
   180.00000000000000      7.3303958787007186        2.0414937731174945     
   200.00000000000000      5.4390601152710394        1.4811970830039092     
   220.00000000000000      4.0106167255167602       0.89250092093130440     
   240.00000000000000      2.9490290126037091       0.61219585937954135     
   260.00000000000000      2.1671750741849221       0.42179860791200563     
   280.00000000000000      1.5954475200564793       0.25639191783989090     
   300.00000000000000      1.1823939010432813       0.15911133267760691     
   320.00000000000000     0.87827154882937009       0.10857568610462909     
   340.00000000000000     0.65869791168830727        6.4085057385200123E-002
   360.00000000000000     0.49322275317250891        3.8624725514922714E-002
   380.00000000000000     0.37645322743859233        2.2495611954391474E-002
   400.00000000000000     0.28735735287855035        3.4834764667438373E-003
   420.00000000000000     0.21912946704164998        6.9100366246790095E-003
   440.00000000000000     0.17102352370851148       -4.2317666045461229E-003
   460.00000000000000     0.13261269062551637       -5.1443494491777691E-003
   480.00000000000000     0.10285024796979782       -7.3685746979688851E-003

#  ===========================================
# for PT_tt 
# pT_tt(min)                    delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000          160.04203919247510       -11.283768445998096     
   50.000000000000000          0.0000000000000000        39.656564624364819     
   100.00000000000000          0.0000000000000000        14.391723756449865     
   150.00000000000000          0.0000000000000000        6.6736377127785245     
   200.00000000000000          0.0000000000000000        3.4671101208629587     
   250.00000000000000          0.0000000000000000        1.9190395050015816     
   300.00000000000000          0.0000000000000000        1.0995803017873174     
   350.00000000000000          0.0000000000000000       0.64881920217040634     
   400.00000000000000          0.0000000000000000       0.39389549993410977     
   450.00000000000000          0.0000000000000000       0.24465007977166869     

#  ===========================================
# for rapidity distribution of top
# y(min)                     delta\sigma^t_{LO QCD}      delta\sigma^t_{NLOW} 
  -3.0000000000000000      0.88644444432587899       0.44807068560143593      
  -2.5000000000000000       3.8964669527396656        1.6300650808149171      
  -2.0000000000000000       9.4575685064496788        3.5765208619448092      
  -1.5000000000000000       16.420583051666625        5.8980543586137903      
  -1.0000000000000000       22.752279416293703        7.9974651918731707      
 -0.50000000000000000       26.557526101956043        9.2647934776682277      
   0.0000000000000000       26.567535924731878        9.2059286290878664      
  0.50000000000000000       22.751232348271582        7.8825186126592843      
   1.0000000000000000       16.397476448450313        6.0096193470707897      
   1.5000000000000000       9.4536108192816943        3.5590882156857990      
   2.0000000000000000       3.9002539045943201        1.6345674153705922      
   2.5000000000000000      0.88730189988843666       0.46468509206191638      


#  ===========================================
# for rapidity distribution of anti-top 
# y(min)                                delta\sigma^tbar_{LO QCD}   delta\sigma^tbar_{NLOW}
  -3.0000000000000000   0.88406265173082632       0.38274545318008019     
  -2.5000000000000000    3.8950774734802418        1.4771260126837613     
  -2.0000000000000000    9.4766547446974236        3.2963373286197024     
  -1.5000000000000000    16.375136176667919        5.6000806119795232     
  -1.0000000000000000    22.759696583856659        8.2473597645001320     
 -0.50000000000000000    26.585216580914913        9.8420427376159907     
