# Scenerio III: m2=500GeV,m3=800GeV
# mu= 162.5 GeV
# for all of the numbers, unit is in pb
# LO QCD:    479.79479980468750      pb, NLO QCD:   221.96545410156250      pb,NLOW:   215.03704643249512      pb
# Total Cross Section is:   694.83184623718262     

# for M_ttbar distribution
# M_tt(min)                  delta\sigma_LO            delta\sigma_NLOW  
   340.00000000000000      13.511355153428333        8.8811134387017834     
   360.00000000000000      35.432436552254117        19.105007952239042     
   380.00000000000000      40.860515902894569        21.357882504206287     
   400.00000000000000      40.986659112997884        20.371309573721788     
   420.00000000000000      38.767845964827721        20.321917758434562     
   440.00000000000000      35.477441839785889        16.348100285623449     
   460.00000000000000      31.964528069670592        13.994286856134512     
   480.00000000000000      28.382464622954753        12.808660221501478     
   500.00000000000000      25.054699287781464        10.282330842995700     
   520.00000000000000      22.005647957490073        9.1554381680426058     
   540.00000000000000      19.344422077632657        7.7081238586271317     
   560.00000000000000      16.927982069309227        7.1792417322283146     
   580.00000000000000      14.814264659885591        6.2090879475752194     
   600.00000000000000      12.997315915620591        5.0400866522621603     
   620.00000000000000      11.389810263566114        4.5618027742551135     
   640.00000000000000      10.035283648098805        4.1539140500798561     
   660.00000000000000      8.7881589761501360        3.4887506534277097     
   680.00000000000000      7.7404702640657126        2.8937771153167340     
   700.00000000000000      6.8328992108717674        2.5149508165604741     
   720.00000000000000      6.0308955783587441        2.3239487517321429     
   740.00000000000000      5.3498549071897195        1.8924153790668028     
   760.00000000000000      4.7263092999842788        1.7055352861666089     
   780.00000000000000      4.1970601570694033        1.4617193741764642     
   800.00000000000000      3.7443402471715488        1.3410189223589775     
   820.00000000000000      3.3295540648112092        1.1544548292906733     
   840.00000000000000      2.9622004750092708        1.0279949599169449     
   860.00000000000000      2.6405219442585435       0.95274998720819926     
   880.00000000000000      2.3754267759046290       0.83646819892278867     
   900.00000000000000      2.1228074142665063       0.67231070593650655     
   920.00000000000000      1.9086068004771450       0.65427970314016126     
   940.00000000000000      1.7173938238301343       0.56183602268855937     
   960.00000000000000      1.5443581077671040       0.48081697783990068     
   980.00000000000000      1.3786881991572244       0.40544839982362696     

#  ===========================================
# for transverse momentum distribution of top
# p_T(min)                   delta\sigma_{LO QCD}        delta\sigma_{NLOW}  
   60.000000000000000       58.067901630523039        27.740947283988927     
   80.000000000000000       59.314422109218441        28.016114462099569     
   100.00000000000000       54.758885163956528        27.729118493164744     
   120.00000000000000       47.108026882183637        19.743499510378275     
   140.00000000000000       38.476302478103129        15.597404649952646     
   160.00000000000000       30.369848907546967        12.019794213627828     
   180.00000000000000       23.409550967836349        8.7640053498813746     
   200.00000000000000       17.769206179366158        6.6088091567487304     
   220.00000000000000       13.397671596909897        4.9331702359437939     
   240.00000000000000       10.065636120442058        3.5131092653766469     
   260.00000000000000       7.5678100720260524        2.6309795408633900     
   280.00000000000000       5.7089096995428115        2.0287746310010042     
   300.00000000000000       4.3137081450006924        1.3841919235998068     
   320.00000000000000       3.2917370716711396        1.0168400087624365     
   340.00000000000000       2.5194627818189925       0.74088218853494747     
   360.00000000000000       1.9452088632636773       0.54927396298949960     
   380.00000000000000       1.5074572089343696       0.41976314144169791     
   400.00000000000000       1.1719936565530240       0.28710669631725028     
   420.00000000000000      0.92473427476967973       0.22489789571181615     
   440.00000000000000      0.73220560822733505       0.15328000696636351     
   460.00000000000000      0.58099176423642296       0.13943792382324560     
   480.00000000000000      0.46469521426259947        9.6939401479667051E-002

#  ===========================================
# for PT_tt 
# pT_tt(min)                   delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000         479.93033146885062       -31.509366313230188     
   50.000000000000000         0.0000000000000000        133.75643142515975     
   100.00000000000000         0.0000000000000000        51.803843233961153     
   150.00000000000000         0.0000000000000000        25.400387621061398     
   200.00000000000000         0.0000000000000000        13.879536990324771     
   250.00000000000000         0.0000000000000000        8.0912730503127381     
   300.00000000000000         0.0000000000000000        4.9247919991377715     
   350.00000000000000         0.0000000000000000        3.0818413097505686     
   400.00000000000000         0.0000000000000000        1.9650135589112445     
   450.00000000000000         0.0000000000000000        1.2956034025270655     

#  ===========================================
# for rapidity distribution of top 
# y(min)                    delta\sigma^t_{LO QCD}      delta\sigma^t_{NLOW} 
  -3.0000000000000000      6.6244679506969009        3.2183638597634516      
  -2.5000000000000000      17.194813406177147        8.3076884134599993      
  -2.0000000000000000      32.141050826121941        14.461494857297247      
  -1.5000000000000000      48.632179511876537        22.039108070119060      
  -1.0000000000000000      62.921106437956894        27.928207662488298      
 -0.50000000000000000      71.001631229602339        31.171876702766859      
   0.0000000000000000      70.968988545860498        31.190992527403779      
  0.50000000000000000      62.858790740283432        27.502257743760921      
   1.0000000000000000      48.600425687491196        21.456964574206289      
   1.5000000000000000      32.154712487788593        14.774744409076225      
   2.0000000000000000      17.205010513092429        8.1485071174077497      
   2.5000000000000000      6.6268704219746413        3.4405498111312012      


#  ===========================================
# for rapidity distribution of  anti-top 
# y(min)                    delta\sigma^tbar_{LO QCD}   delta\sigma^tbar_{NLOW}
  -3.0000000000000000      6.6313634877425338        3.2076921673693830     
  -2.5000000000000000      17.147469370256832        7.9500723193810963     
  -2.0000000000000000      32.191300791533678        14.799944802394339     
  -1.5000000000000000      48.673602211193362        20.304968789933412     
  -1.0000000000000000      62.787026899300720        28.102070035989790     
 -0.50000000000000000      71.057466645561931        31.493168085219374     
   0.0000000000000000      71.086132088576363        33.105242274095637     
  0.50000000000000000      62.764193640605654        27.573411560195563     
   1.0000000000000000      48.632549114546045        21.805182004462008     
