# Scenerio II: m2=550GeV,m3=700GeV
# mu= 625 GeV
# for all of the numbers, unit is in pb
# Cross section
# LO QCD:    305.67599487304688      pb, NLO QCD:   243.70617675781250      pb,NLOW:   237.04260063171387      pb
# Total Cross Section is:   542.71859550476074     
 
# Numerator
# LO QCD:    89.730308532714844      pb, NLO QCD:   82.451965332031250      pb,NLOW:   82.813555002212524      pb
# Total numerator is:   172.54386353492737     
# heli. corr.(unexpanded)   0.31792509960793081     
# heli. corr.(expanded)   0.33043031984676519     
 
# for M_ttbar distribution
# M_tt(min)                delta (O \sigma_LO)       delta (O \sigma_NLOW)       delta (O \sigma_2HDM_LO)
   340.00000000000000       0.76362292060108872       0.90521355071471421          0.0125336232574 
   350.00000000000000        4.8995711955975061        4.4153203441432787          0.0962043316707 
   360.00000000000000        6.4743693556576174        5.1908240509329371          0.124814872746  
   370.00000000000000        7.0044046368136934        5.7152358939534995          0.131286190215  
   380.00000000000000        7.0711260549313728        5.7618240281068847          0.124109055692  
   390.00000000000000        6.8511734959620734        5.4340502710645566          0.109941308041  
   400.00000000000000        6.4817847844135512        5.1604147438450854          0.0882455720956 
   410.00000000000000        6.0392305802686659        4.7434942846525683          0.0600268066699 
   420.00000000000000        5.5740634170338801        4.5636782772316584          0.0296835038081 
   430.00000000000000        5.0661110119537103        4.5168788675664917          -0.0056761024459
   440.00000000000000        4.5948863545361345        3.5854853307750147          -0.0445286040808
   450.00000000000000        4.1253536013289294        3.4930898734304185          -0.0905709496198
   460.00000000000000        3.7107870573073658        3.0530252700933316          -0.139406849897 
   470.00000000000000        3.3068074889019607        2.7229370813328826          -0.198113459373 
   480.00000000000000        2.9360333289659479        2.5172898921317692          -0.267776725082 
   490.00000000000000        2.6228347549039874        2.3541588454729858          -0.353897997957 
   500.00000000000000        2.3044848268099405        1.9414713523105216          -0.465355670548 
   510.00000000000000        2.0276378535122106        1.7411911820232810          -0.612018790871 
   520.00000000000000        1.7872509954815441        1.6058405831221612          -0.806236369822 
   530.00000000000000        1.5681064405874054        1.3884683671063145          -1.00136565248  
   540.00000000000000        1.3732781565369570        1.3129721076338794          -0.932279472076 
   550.00000000000000        1.1961753757761127        1.2011141235377440          -0.352401307467 
   560.00000000000000        1.0379836137540053        1.0577202522961748          0.181418955129  
   570.00000000000000       0.89608308840919837       0.95953402058966575          0.362019094505  
   580.00000000000000       0.77834898417668352       0.87676570650044638          0.376238676549  
   590.00000000000000       0.66335283708199089       0.70518972383238887          0.340837171704  
   600.00000000000000       0.56669647182599914       0.66051789687059825          0.296946580468  
   610.00000000000000       0.48731482804033499       0.56953566999036132          0.251295586352  
   620.00000000000000       0.40608507510238573       0.53196171459384278          0.20787936842   
   630.00000000000000       0.34075525697201831       0.45008537230675361          0.165773926372  
   640.00000000000000       0.28608383562388623       0.43454031663175491          0.122137748883  
   650.00000000000000       0.22999785992955502       0.43912779892769827          0.077343806406  
   660.00000000000000       0.17987212331065699       0.33059454621942624          0.0291286463575 
   670.00000000000000       0.14636450490448863       0.29705568513169101          -0.0212044029832
   680.00000000000000       0.11210456391864937       0.28786756717010431          -0.0696216264459
   690.00000000000000        8.3488357216913583E-002  0.23382985047313748          -0.106864201834 
   700.00000000000000        4.8492724905378280E-002  0.22739760210899274          -0.12327038862  
   710.00000000000000        3.2553365810543994E-002  0.18199777569357001          -0.11720846009  
   720.00000000000000        1.1729802003513305E-002  0.16127738078811571          -0.0952488374848
   730.00000000000000       -7.7782279206491589E-003  0.15465258344740240          -0.0698283712895
   740.00000000000000       -2.1537662298893458E-002  0.13995977778035321          -0.046154200946 
   750.00000000000000       -3.5237814899896650E-002  0.13751770069146660          -0.0273018507151
   760.00000000000000       -4.5881193214018977E-002  0.11685871893622968          -0.012977629437 
   770.00000000000000       -5.4373028058385363E-002   9.5484750922645273E-002     -0.0023916797702
   780.00000000000000       -6.0967352765859177E-002  0.10716020449414163          0.00467437477366
   790.00000000000000       -6.5230256203827011E-002   6.6190221122050724E-002     0.00975638343822
   800.00000000000000       -7.1319678018981231E-002   5.7063407137418129E-002     0.0133604215282 
   810.00000000000000       -8.0522291384023226E-002   6.1799690567009694E-002     0.015544489205  
   820.00000000000000       -8.0281482651467492E-002   5.2864423183737151E-002     0.0172704665601 
   830.00000000000000       -8.2045020276455813E-002   4.8783933477515182E-002     0.0177740062244 
   840.00000000000000       -8.5793798555872464E-002   4.8392869323898580E-002     0.0182420926129 
   850.00000000000000       -8.6040831375817195E-002   1.8222177332438735E-002     0.0182108482494 
   860.00000000000000       -8.8092736587023032E-002   3.9875934253656292E-002     0.0179900868743 
   870.00000000000000       -8.6817936841051713E-002   2.9947961059248948E-002     0.0177062835658 
   880.00000000000000       -8.5692579571932825E-002   3.2747361890997320E-002     0.017130091931  
   890.00000000000000       -8.7073252697378672E-002   1.8849478859870483E-002     0.0167661581976 
   900.00000000000000       -8.9610650423204527E-002   6.8583232678729907E-003     0.0160930730684 
   910.00000000000000       -8.7296811258574844E-002   1.8953402180722532E-002     0.0154612701946 
   920.00000000000000       -8.4570904267354627E-002   1.6258166744780672E-002     0.0149334085874 
   930.00000000000000       -8.4442027049492413E-002   1.2432309880489330E-002     0.0141916901164 
   940.00000000000000       -8.2749509488172640E-002  -2.6050171210298088E-003     0.0135662451919 
   950.00000000000000       -8.1107443591602824E-002   1.2268603484089150E-002     0.012852712681  
   960.00000000000000       -7.9958715398574354E-002   8.9705009031606150E-003     0.0122394156993 
   970.00000000000000       -7.8648336380656228E-002   8.7853889507804889E-003     0.0116115895488 
   980.00000000000000       -7.5234022615469687E-002   1.3873847952651671E-002     0.0112794882723 
   990.00000000000000       -7.4985060846895504E-002   6.8550455924942903E-003     0.0105390113814 
   1000.0000000000000       -7.3001232286662776E-002   6.8742031910533508E-003     0.0100426530377 
   1010.0000000000000       -7.0510581092102662E-002  -9.1496859527146202E-003     0.00957981116722
   1020.0000000000000       -6.9256989594514456E-002   7.9468374543494452E-003     0.00905765873232
   1030.0000000000000       -6.8686935907358665E-002   9.4046980512547396E-003     0.0086605379047 
   1040.0000000000000       -6.6345858021167090E-002  -5.6689551908933461E-003     0.00819656157725
   1050.0000000000000       -6.3949312930246249E-002   4.6295573419743111E-003     0.00771768071325
   1060.0000000000000       -6.2481786662636096E-002  -1.3615055505992041E-003     0.00737942705661
   1070.0000000000000       -5.9921477641544429E-002  -2.7876422686674597E-003     0.00695352138315
   1080.0000000000000       -5.8523146406488202E-002   1.3429820308869210E-003     0.00671733871247
   1090.0000000000000       -5.6014174562735081E-002   2.8306158228342190E-003     0.00635031660769
   1100.0000000000000       -5.5107402188818801E-002  -5.7746261003731661E-003     0.00606916625121
   1110.0000000000000       -5.3660993394524389E-002  -5.0711009749500827E-003     0.00570404876686
   1120.0000000000000       -5.1709148708989065E-002  -3.2090205114445255E-003     0.00536963965681
