# Scenerio II: m2=550GeV,m3=700GeV
# mu= 625 GeV
# for all of the numbers, unit is in pb
# LO QCD:    89.024284362792969      pb, NLO QCD:   73.395751953125000      pb,NLOW:   71.737211942672729      pb
# Total Cross Section is:   160.76149630546570     

# for M_ttbar distribution
# M_tt(min)                   delta\sigma_LO            delta\sigma_NLOW 
   340.00000000000000       3.1822098427068557        2.8255108487220308     
   360.00000000000000       8.0292557267619706        6.7223320761277359     
   380.00000000000000       8.9158326505185190        7.5684285999193550     
   400.00000000000000       8.6427346988877041        7.0721144488773842     
   420.00000000000000       7.9307553217880802        6.3479662561256012     
   440.00000000000000       7.0628016490172412        5.6001112994907434     
   460.00000000000000       6.1825932087205695        4.9109366538244403     
   480.00000000000000       5.3585858059050455        4.3214217720199581     
   500.00000000000000       4.6185553651693327        3.6418535838610397     
   520.00000000000000       3.9723407707129432        3.1955869027961059     
   540.00000000000000       3.3884096525349183        2.6916547987397514     
   560.00000000000000       2.9132793857172969        2.3044509758457190     
   580.00000000000000       2.4949861797785324        1.9331198560268108     
   600.00000000000000       2.1421150829545037        1.6723594635563419     
   620.00000000000000       1.8341724393759342        1.4369266604602720     
   640.00000000000000       1.5777992890123524        1.2549855704720219     
   660.00000000000000       1.3644137515440400        1.0772436861575334     
   680.00000000000000       1.1719429453343544       0.92947101330984128     
   700.00000000000000       1.0135433282827540       0.78559629292299660     
   720.00000000000000      0.88062325588709345       0.67820807316403531     
   740.00000000000000      0.76119922259382333       0.58339850090523537     
   760.00000000000000      0.66252620952617713       0.51733660346878863     
   780.00000000000000      0.57674834148464593       0.42998390712266243     
   800.00000000000000      0.50357974976144027       0.38801445795282141     
   820.00000000000000      0.44181289632348775       0.34018117045774610     
   840.00000000000000      0.38488328854622972       0.30118863660994794     
   860.00000000000000      0.33593543401935050       0.25274296051046269     
   880.00000000000000      0.29758776060172770       0.22597625242458824     
   900.00000000000000      0.26012399236023126       0.20478403050526739     
   920.00000000000000      0.23163452027605733       0.17454173255028321     
   940.00000000000000      0.20322514534825853       0.15380258087065596     
   960.00000000000000      0.17990778410620795       0.13945439357624581     
   980.00000000000000      0.15876695843662361       0.11997373248659242     

#  ===========================================
# for transverse momentum distribution of top
# p_T(min)                   delta\sigma_{LO QCD}        delta\sigma_{NLOW}  
   60.000000000000000       11.629821806497484        9.8641224826355085     
   80.000000000000000       11.599628833316030        9.7414862346630660     
   100.00000000000000       10.437141602918871        8.3309124588910564     
   120.00000000000000       8.7321414129253458        6.8627855525802310     
   140.00000000000000       6.9302151291417173        5.3756218508005595     
   160.00000000000000       5.2978811435539486        4.1078884108883518     
   180.00000000000000       3.9613138762477944        3.0209800341483506     
   200.00000000000000       2.9156719469235122        2.2379212545727980     
   220.00000000000000       2.1326168950735447        1.5475389859145854     
   240.00000000000000       1.5532284381666404        1.1175120942687675     
   260.00000000000000       1.1374081256309627       0.81726191915603941     
   280.00000000000000      0.82821742175021196       0.57294275433291886     
   300.00000000000000      0.61143436434485032       0.41018786599723012     
   320.00000000000000      0.45081763644233680       0.30438556037936443     
   340.00000000000000      0.33404458086826005       0.21651478697298759     
   360.00000000000000      0.25061276782346109       0.16142205906693241     
   380.00000000000000      0.18921985941196165       0.12000139857856643     
   400.00000000000000      0.14338402140520273        8.8088796963054578E-002
   420.00000000000000      0.10996624235532620        6.6446970531050420E-002
   440.00000000000000       8.4428601871167006E-002   4.7443462380292470E-002
   460.00000000000000       6.4983578730513913E-002   3.7688622238465988E-002
   480.00000000000000       5.0528156680212488E-002   2.8109597625744897E-002

#  ===========================================
# for PT_tt 
# pT_tt(min)                    delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000          89.037658216351787        42.218342507738370     
   50.000000000000000          0.0000000000000000        17.265084477993231     
   100.00000000000000          0.0000000000000000        6.1562655154739083     
