 Scenerio II: m2=550GeV,m3=700GeV
 mu= 312.5 GeV
 for all of the numbers, unit is in pb
 LO QCD:    454.23141479492188      pb, NLO QCD:   287.96716308593750      pb,NLOW:   279.89620876312256      pb
 Total Cross Section is:   734.12762355804443     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta\sigma_LO            delta\sigma_NLOW
   320.00000000000000        340.00000000000000        0.0000000000000000        0.0000000000000000     
   340.00000000000000        360.00000000000000        12.878333832217823        10.056467808640271     
   360.00000000000000        380.00000000000000        33.719929080400064        22.613240061570743     
   380.00000000000000        400.00000000000000        38.823640094298959        25.744809365084098     
   400.00000000000000        420.00000000000000        38.907768096762766        24.934729122033115     
   420.00000000000000        440.00000000000000        36.811189951278543        25.150232745232071     
   440.00000000000000        460.00000000000000        33.639974194242527        20.659876165537106     
   460.00000000000000        480.00000000000000        30.259402282238561        18.509707842079820     
   480.00000000000000        500.00000000000000        26.827796997887827        16.190651390518742     
   500.00000000000000        520.00000000000000        23.732608753589364        14.251847908513660     
   520.00000000000000        540.00000000000000        20.795808774505630        11.983725412641284     
   540.00000000000000        560.00000000000000        18.227454414766740        10.663977354391889     
   560.00000000000000        580.00000000000000        16.030295969183040        9.3741057445705369     
   580.00000000000000        600.00000000000000        13.986665535321880        8.2644185778539700     
   600.00000000000000        620.00000000000000        12.235392710235073        7.3214424231684037     
   620.00000000000000        640.00000000000000        10.733892500745357        6.0190886233254268     
   640.00000000000000        660.00000000000000        9.4422184522855641        5.5903305701171586     
   660.00000000000000        680.00000000000000        8.3094669228703779        4.9103139067896491     
   680.00000000000000        700.00000000000000        7.2998898919515849        4.3974317749874841     
   700.00000000000000        720.00000000000000        6.4158746404644349        3.6372363586063186     
   720.00000000000000        740.00000000000000        5.6800119538214053        3.2297551677313523     
   740.00000000000000        760.00000000000000        5.0399712830727967        2.9099372463395512     
   760.00000000000000        780.00000000000000        4.4586899616309923        2.4199363019678435     
   780.00000000000000        800.00000000000000        3.9495162191732538        2.1573607752174335     
   800.00000000000000        820.00000000000000        3.5311457157810948        1.9030583873171805     
   820.00000000000000        840.00000000000000        3.1300434010089875        1.8499350305112818     
   840.00000000000000        860.00000000000000        2.7880670668635386        1.4729616388065980     
   860.00000000000000        880.00000000000000        2.4918358863223968        1.4288742410417863     
   880.00000000000000        900.00000000000000        2.2338362900119835        1.2211971763753957     
   900.00000000000000        920.00000000000000        2.0030796867894352        1.1352957734663982     
   920.00000000000000        940.00000000000000        1.7977126142965665        1.0009348173840398     
   940.00000000000000        960.00000000000000        1.6163209019568783       0.90314226114871210     
   960.00000000000000        980.00000000000000        1.4560695109642707       0.80458952403512263     
   980.00000000000000        1000.0000000000000        1.2956962084010275       0.69856174299188900     
   1000.0000000000000        1020.0000000000000        1.1838847676696265       0.59984012235600237     
   1020.0000000000000        1040.0000000000000        1.0728531578634410       0.56061949663850408     
   1040.0000000000000        1060.0000000000000       0.96143994525179510       0.49637448064119855     
   1060.0000000000000        1080.0000000000000       0.88057310329974414       0.46843688879794226     
   1080.0000000000000        1100.0000000000000       0.79886046840773428       0.42266242833615009     
   1100.0000000000000        1120.0000000000000       0.72285956614393987       0.41882416408136930     
   1120.0000000000000        1140.0000000000000       0.65662944946639912       0.32063557553150035     
   1140.0000000000000        1160.0000000000000       0.60309002502833675       0.29874510710013041     
   1160.0000000000000        1180.0000000000000       0.54443350261742163       0.27041508576583362     
   1180.0000000000000        1200.0000000000000       0.49248474023308297       0.23693694068607060     
   1200.0000000000000        1220.0000000000000       0.45313073586577352       0.21180504209555648     
   1220.0000000000000        1240.0000000000000       0.41571883122639586       0.22015391972307646     
   1240.0000000000000        1260.0000000000000       0.38249706238727094       0.16817540382262997     
   1260.0000000000000        1280.0000000000000       0.34683660526657484       0.17843070030251690     
   1280.0000000000000        1300.0000000000000       0.31814626986640260       0.15633217050234965     

  ===========================================
 for transverse momentum distribution of top
 p_T(min)              p_T(max)                        delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000        20.000000000000000        11.125405040806381        8.6352733205987988     
   20.000000000000000        40.000000000000000        31.424084071389757        21.483979384034690     
   40.000000000000000        60.000000000000000        46.983420345073334        31.312460706180957     
   60.000000000000000        80.000000000000000        55.107945628214402        34.309264472357135     
   80.000000000000000        100.00000000000000        56.224346992188345        35.994241344921534     
   100.00000000000000        120.00000000000000        51.845607520439728        34.419864876396254     
   120.00000000000000        140.00000000000000        44.597053292414813        26.676628560693132     
   140.00000000000000        160.00000000000000        36.375263804522717        21.237184157978469     
   160.00000000000000        180.00000000000000        28.680995803761622        16.075780881570626     
   180.00000000000000        200.00000000000000        22.099155159200059        12.365960879218530     
   200.00000000000000        220.00000000000000        16.789006622952179        9.3755253908036682     
   220.00000000000000        240.00000000000000        12.613929737842920        7.1473052377653916     
   240.00000000000000        260.00000000000000        9.4984167763232872        5.1393351800039344     
   260.00000000000000        280.00000000000000        7.1342984080618130        3.8863214116307896     
   280.00000000000000        300.00000000000000        5.3742388574503499        3.0323778609508976     
   300.00000000000000        320.00000000000000        4.0714617694485824        2.2030448393867115     
   320.00000000000000        340.00000000000000        3.0981627125606059        1.5967946564051609     
   340.00000000000000        360.00000000000000        2.3729614419328771        1.2074598479873118     
   360.00000000000000        380.00000000000000        1.8331690708253781       0.93636450992676068     
   380.00000000000000        400.00000000000000        1.4204852815376512       0.71213253298825363     
   400.00000000000000        420.00000000000000        1.1072869081247889       0.54703878230163550     
   420.00000000000000        440.00000000000000       0.87236156337118653       0.41057167933978284     
