 Scenerio II: m2=550GeV,m3=700GeV
 mu= 156.25 GeV
 for all of the numbers, unit is in pb
 Cross section
 LO QCD:    486.59451293945312      pb, NLO QCD:   219.79309082031250      pb,NLOW:   212.84232044219971      pb
 Total Cross Section is:   699.43683338165283     

 Numerator
 LO QCD:   -99.688761393229171      pb, NLO QCD:  -64.909912109375000      pb,NLOW:  -62.313763777414955      pb
 Total numerator is:  -162.00252517064413     
 heli. corr.(unexpanded)  -0.23161852141442238     
 heli. corr.(expanded)  -0.24039204453182278     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta (O \sigma_LO)           delta (O \sigma_NLOW)
   340.00000000000000        350.00000000000000       -1.1723814013492422       -1.0453471501818603     
   350.00000000000000        360.00000000000000       -7.1355269182289804       -4.2455305972029160     
   360.00000000000000        370.00000000000000       -8.8205101033944064       -4.3007551941881772     
   370.00000000000000        380.00000000000000       -8.9743329917088168       -4.5542315107558560     
   380.00000000000000        390.00000000000000       -8.6076209721400829       -4.3130550381005497     
   390.00000000000000        400.00000000000000       -7.9572452377367391       -3.9131551234517197     
   400.00000000000000        410.00000000000000       -7.2446132913113166       -3.6608170273031924     
   410.00000000000000        420.00000000000000       -6.4866087912508839       -3.2358444999783536     
   420.00000000000000        430.00000000000000       -5.8157309890965960       -3.1221110567978898     
   430.00000000000000        440.00000000000000       -5.1133238759919797       -3.1964796960465702     
   440.00000000000000        450.00000000000000       -4.5165653777366206       -2.2752830697856070     
   450.00000000000000        460.00000000000000       -3.9718637173683988       -2.2236382826234999     
   460.00000000000000        470.00000000000000       -3.5069178146229683       -2.0153495469710130     
   470.00000000000000        480.00000000000000       -3.0570944157908646       -1.7380772140254044     
   480.00000000000000        490.00000000000000       -2.6742375374251233       -1.5917118132652643     
   490.00000000000000        500.00000000000000       -2.3575416022943050       -1.5332195212759281     
   500.00000000000000        510.00000000000000       -2.0414680131615208       -1.2372959424657910     
   510.00000000000000        520.00000000000000       -1.7864219471685863       -1.0829487040641796     
   520.00000000000000        530.00000000000000       -1.5463313860301771       -1.0471457149965193     
   530.00000000000000        540.00000000000000       -1.3575922382429082      -0.89587120449607871     
   540.00000000000000        550.00000000000000       -1.1804617192379090      -0.84896591516105280     
   550.00000000000000        560.00000000000000       -1.0174637047338699      -0.78700276284267023     
   560.00000000000000        570.00000000000000      -0.88988792040762899      -0.71036700831016175     
   570.00000000000000        580.00000000000000      -0.76166577825864001      -0.68409580382602131     
   580.00000000000000        590.00000000000000      -0.67008414224918855      -0.61060091423037510     
   590.00000000000000        600.00000000000000      -0.56670491591290351      -0.50456393038446368     
   600.00000000000000        610.00000000000000      -0.49087595418333191      -0.47200631363521323     
   610.00000000000000        620.00000000000000      -0.42398120082744134      -0.40980851007791008     
   620.00000000000000        630.00000000000000      -0.36231083907777073      -0.41598680052485143     
   630.00000000000000        640.00000000000000      -0.30331566543793081      -0.33679314783902825     
   640.00000000000000        650.00000000000000      -0.25932851694566167      -0.34025213194272652     
   650.00000000000000        660.00000000000000      -0.21818772071988426      -0.33697868812226117     
   660.00000000000000        670.00000000000000      -0.17973982818153802      -0.28383936412210548     
   670.00000000000000        680.00000000000000      -0.14787558910164350      -0.24790446861321300     
   680.00000000000000        690.00000000000000      -0.12015888320706521      -0.24868921664509960     
   690.00000000000000        700.00000000000000       -9.5460759191550004E-002 -0.22210794419689139     
   700.00000000000000        710.00000000000000       -7.4026020470301337E-002 -0.19038052688071141     
   710.00000000000000        720.00000000000000       -6.1223931181861202E-002 -0.17756842867393810     
   720.00000000000000        730.00000000000000       -4.3242516252279865E-002 -0.17466083440937730     
   730.00000000000000        740.00000000000000       -2.3385110982516864E-002 -0.15744500688288079     
   740.00000000000000        750.00000000000000       -1.4044289166264795E-002 -0.15523285349298949     
