 Scenerio III: m2=500GeV,m3=800GeV
 mu= 650 GeV
 for all of the numbers, unit is in pb
 Cross section
 LO QCD:    301.94985961914062      pb, NLO QCD:   243.34082031250000      pb,NLOW:   236.67661857604980      pb
 Total Cross Section is:   538.62647819519043     

 Numerator
 LO QCD:   -60.699829101562500      pb, NLO QCD:  -60.783548990885414      pb,NLOW:  -60.075413068135575      pb
 Total numerator is:  -120.77524216969807     
 heli. corr.(unexpanded)  -0.22422819348649042     
 heli. corr.(expanded)  -0.23797780494026455     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta (O \sigma_LO)           delta (O \sigma_NLOW)
   340.00000000000000        350.00000000000000      -0.74273762325929937      -0.87219496454918788     
   350.00000000000000        360.00000000000000       -4.5029284350056127       -4.1750725768291641     
   360.00000000000000        370.00000000000000       -5.5478057371969500       -4.6502269122776037     
   370.00000000000000        380.00000000000000       -5.6168884120571718       -4.8347474952431506     
   380.00000000000000        390.00000000000000       -5.3580945959639186       -4.5876829600767222     
   390.00000000000000        400.00000000000000       -4.9358421109208468       -4.2057740373618655     
   400.00000000000000        410.00000000000000       -4.4651466196463421       -3.8685745774806759     
   410.00000000000000        420.00000000000000       -3.9877941303923894       -3.4544364921058723     
   420.00000000000000        430.00000000000000       -3.5579621794879928       -3.2182613691187325     
   430.00000000000000        440.00000000000000       -3.1086565759871658       -3.0919657551483923     
   440.00000000000000        450.00000000000000       -2.7372889475076736       -2.4303268726368867     
   450.00000000000000        460.00000000000000       -2.3957082433535164       -2.2720731240136738     
   460.00000000000000        470.00000000000000       -2.1028012721993394       -1.9910125380861248     
   470.00000000000000        480.00000000000000       -1.8272877468361237       -1.7650184570192737     
   480.00000000000000        490.00000000000000       -1.5896923758618262       -1.5942690826768064     
   490.00000000000000        500.00000000000000       -1.3909121818755352       -1.4628493393045534     
   500.00000000000000        510.00000000000000       -1.2068583917095907       -1.2071502285855074     
   510.00000000000000        520.00000000000000       -1.0408157859981555       -1.0811181737492859     
   520.00000000000000        530.00000000000000      -0.90347274509340947      -0.97217801247845614     
   530.00000000000000        540.00000000000000      -0.78426810748492093      -0.84070082795035328     
   540.00000000000000        550.00000000000000      -0.67650166517270882      -0.77087410054254046     
   550.00000000000000        560.00000000000000      -0.58526813968619218      -0.72268552841409461     
   560.00000000000000        570.00000000000000      -0.50179475497826920      -0.60753956592178204     
   570.00000000000000        580.00000000000000      -0.43309854885604465      -0.57237845274538868     
   580.00000000000000        590.00000000000000      -0.37372360785207909      -0.53104326548552794     
   590.00000000000000        600.00000000000000      -0.31590364640216401      -0.42339378371251296     
   600.00000000000000        610.00000000000000      -0.26855121806794885      -0.38120661663322797     
   610.00000000000000        620.00000000000000      -0.23287518467072499      -0.33650093755078542     
   620.00000000000000        630.00000000000000      -0.19468216325778911      -0.32193616293841615     
   630.00000000000000        640.00000000000000      -0.16301665246872396      -0.26606899460318456     
   640.00000000000000        650.00000000000000      -0.13706191198111625      -0.24751099202566876     
   650.00000000000000        660.00000000000000      -0.11130047564582618      -0.25158977018943379     
   660.00000000000000        670.00000000000000       -9.0416730563553468E-002 -0.20823365915558356     
   670.00000000000000        680.00000000000000       -7.2581402153117466E-002 -0.16526209455409932     
   680.00000000000000        690.00000000000000       -5.8366266243300879E-002 -0.16224283938246825     
   690.00000000000000        700.00000000000000       -4.3637082170341297E-002 -0.15078019646034732     
   700.00000000000000        710.00000000000000       -3.4848545803822364E-002 -0.12855078387804098     
   710.00000000000000        720.00000000000000       -2.2850391136361923E-002 -0.11160575079731966     
   720.00000000000000        730.00000000000000       -1.4015103478578919E-002 -0.10518168876120391     
   730.00000000000000        740.00000000000000       -5.9213782698789427E-003  -9.2046440994845005E-002
   740.00000000000000        750.00000000000000       -5.0881818074195587E-004  -8.5459064556790254E-002
   750.00000000000000        760.00000000000000        5.8168627390217760E-003  -8.0307314002475719E-002
   760.00000000000000        770.00000000000000        1.0546675751287043E-002  -7.0797427617561345E-002
   770.00000000000000        780.00000000000000        1.1138406778095715E-002  -6.6172559383468846E-002
   780.00000000000000        790.00000000000000        1.7268537699754279E-002  -5.6409400639895246E-002
   790.00000000000000        800.00000000000000        1.9755398452851975E-002  -5.0790347747683130E-002
   800.00000000000000        810.00000000000000        2.2170866762863502E-002  -4.3470673039309522E-002
   810.00000000000000        820.00000000000000        2.4371010707728829E-002  -4.1196873923941162E-002
   820.00000000000000        830.00000000000000        2.5183406574416752E-002  -4.0186746599275618E-002
   830.00000000000000        840.00000000000000        2.7497491043921619E-002  -3.4739178102395442E-002
   840.00000000000000        850.00000000000000        2.6673077764402028E-002  -3.4515105255003002E-002
   850.00000000000000        860.00000000000000        2.8098704734821733E-002  -2.2693052809580592E-002
   860.00000000000000        870.00000000000000        2.9429475404290802E-002  -3.0249431206624003E-002
   870.00000000000000        880.00000000000000        2.8990960447514803E-002  -2.5550352603964110E-002
   880.00000000000000        890.00000000000000        2.8613303398060942E-002  -2.4258035901127156E-002
   890.00000000000000        900.00000000000000        2.9884060745479672E-002  -1.4641514464573882E-002
   900.00000000000000        910.00000000000000        3.0177150517241957E-002  -1.7184439885921235E-002
   910.00000000000000        920.00000000000000        2.8893713933465213E-002  -1.6508317340494547E-002
   920.00000000000000        930.00000000000000        2.8650673207143328E-002  -1.2818827597878994E-002
   930.00000000000000        940.00000000000000        2.8357698757760692E-002  -1.3602535851996724E-002
   940.00000000000000        950.00000000000000        2.7650287805113052E-002  -1.2401976633142006E-002
   950.00000000000000        960.00000000000000        2.7805246058631574E-002  -9.1926003874391697E-003
