 Scenerio I: m2=550GeV,m3=510GeV
 mu= 265 GeV
 for all of the numbers, unit is in pb
 Cross section
 LO QCD:    404.50357055664062      pb, NLO QCD:   240.09399414062500      pb,NLOW:   233.35254096984863      pb
 Total Cross Section is:   637.85611152648926     

 Numerator
 LO QCD:   -82.376968383789062      pb, NLO QCD:  -64.983072916666671      pb,NLOW:  -63.203479925791427      pb
 Total numerator is:  -145.58044830958050     
 heli. corr.(unexpanded)  -0.22823399459352009     
 heli. corr.(expanded)  -0.23902240304329439     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta (O \sigma_LO)           delta (O \sigma_NLOW)
   340.00000000000000        350.00000000000000      -0.98377657347791780      -0.98245178893223917     
   350.00000000000000        360.00000000000000       -5.9809583313174821       -4.3329883228048693     
   360.00000000000000        370.00000000000000       -7.3816420805743341       -4.6174892802889964     
   370.00000000000000        380.00000000000000       -7.4924100403257823       -4.8509178719632944     
   380.00000000000000        390.00000000000000       -7.1758606455241818       -4.5930785012204307     
   390.00000000000000        400.00000000000000       -6.6232331932973914       -4.1903614047025144     
   400.00000000000000        410.00000000000000       -6.0166062474409214       -3.8747236315475093     
   410.00000000000000        420.00000000000000       -5.3773157788348014       -3.4783020171035264     
   420.00000000000000        430.00000000000000       -4.8154515467081689       -3.2780054803547940     
   430.00000000000000        440.00000000000000       -4.2215291827019730       -3.2395125267200542     
   440.00000000000000        450.00000000000000       -3.7275941715876351       -2.4431061187719867     
   450.00000000000000        460.00000000000000       -3.2683802326516069       -2.3230563707636622     
   460.00000000000000        470.00000000000000       -2.8792666341637290       -2.0737345954095168     
   470.00000000000000        480.00000000000000       -2.5085965863708712       -1.8250594200685759     
   480.00000000000000        490.00000000000000       -2.1900115932761035       -1.6638189323122321     
   490.00000000000000        500.00000000000000       -1.9237946564342050       -1.5562927424783632     
   500.00000000000000        510.00000000000000       -1.6673227148595531       -1.2597670396416363     
   510.00000000000000        520.00000000000000       -1.4509871289662726       -1.1258489776561309     
   520.00000000000000        530.00000000000000       -1.2593456753308296       -1.0408207617126315     
   530.00000000000000        540.00000000000000       -1.0972019083197215      -0.91407398390911121     
   540.00000000000000        550.00000000000000      -0.95321085082405910      -0.83272661063737197     
   550.00000000000000        560.00000000000000      -0.82399415424069844      -0.77932779025700072     
   560.00000000000000        570.00000000000000      -0.71357057019880932      -0.68406990480001284     
   570.00000000000000        580.00000000000000      -0.61396849709076695      -0.65904552712607345     
   580.00000000000000        590.00000000000000      -0.53501275562746564      -0.58180731821237219     
   590.00000000000000        600.00000000000000      -0.45161373956427769      -0.47922161753893616     
   600.00000000000000        610.00000000000000      -0.39279271582453884      -0.45353209305220005     
   610.00000000000000        620.00000000000000      -0.33311227732937337      -0.39180859887526021     
   620.00000000000000        630.00000000000000      -0.28825029647549716      -0.37651611712057348     
   630.00000000000000        640.00000000000000      -0.23829347175426407      -0.31094799635218828     
   640.00000000000000        650.00000000000000      -0.20278750133757625      -0.29889297073224508     
   650.00000000000000        660.00000000000000      -0.16979918413166270      -0.31715675670852750     
   660.00000000000000        670.00000000000000      -0.13763218746454919      -0.24013660191340569     
   670.00000000000000        680.00000000000000      -0.11388235476947135      -0.23100889578441539     
   680.00000000000000        690.00000000000000       -9.0818427458034257E-002 -0.20434048132356095     
   690.00000000000000        700.00000000000000       -7.1534768634258519E-002 -0.18578302556718337     
   700.00000000000000        710.00000000000000       -5.4289458419124775E-002 -0.17064481061819536     
