 Scenerio III: m2=500GeV,m3=800GeV
 mu= 162.5 GeV
 for all of the numbers, unit is in pb
 Cross section
 LO QCD:    479.79479980468750      pb, NLO QCD:   221.96545410156250      pb,NLOW:   215.03704643249512      pb
 Total Cross Section is:   694.83184623718262     

 Numerator
 LO QCD:   -98.257151285807296      pb, NLO QCD:  -65.007771809895829      pb,NLOW:  -62.477758884429925      pb
 Total numerator is:  -160.73491017023721     
 heli. corr.(unexpanded)  -0.23132922165368042     
 heli. corr.(expanded)  -0.24026649891122570     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta (O \sigma_LO)           delta (O \sigma_NLOW)
   340.00000000000000        350.00000000000000       -1.1565787965939884       -1.0406561973530486     
   350.00000000000000        360.00000000000000       -7.0408942592129806       -4.2520852472600623     
   360.00000000000000        370.00000000000000       -8.7043511025034181       -4.3396751712256512     
   370.00000000000000        380.00000000000000       -8.8511951899061270       -4.5848124356437374     
   380.00000000000000        390.00000000000000       -8.4877899919774080       -4.3638423330534186     
   390.00000000000000        400.00000000000000       -7.8506283840432625       -3.9205806872516162     
   400.00000000000000        410.00000000000000       -7.1416381717481885       -3.6839291648261856     
   410.00000000000000        420.00000000000000       -6.3949967142816355       -3.2545200344951533     
   420.00000000000000        430.00000000000000       -5.7337948820544051       -3.1548834082398329     
   430.00000000000000        440.00000000000000       -5.0401414742745123       -3.2067127243501461     
   440.00000000000000        450.00000000000000       -4.4495884909639090       -2.2922379205283967     
   450.00000000000000        460.00000000000000       -3.9143844697060568       -2.2456005383491431     
   460.00000000000000        470.00000000000000       -3.4520979599249695       -2.0026806686114140     
   470.00000000000000        480.00000000000000       -3.0145326282040252       -1.7632088911269619     
   480.00000000000000        490.00000000000000       -2.6339740185359619       -1.6075351988639797     
   490.00000000000000        500.00000000000000       -2.3194847405134627       -1.5495013578535357     
   500.00000000000000        510.00000000000000       -2.0096896361753021       -1.2114741319858948     
   510.00000000000000        520.00000000000000       -1.7594452746721940       -1.1166927293200108     
   520.00000000000000        530.00000000000000       -1.5254381489051190       -1.0359401293564916     
   530.00000000000000        540.00000000000000       -1.3328696388514889      -0.89823537798681763     
   540.00000000000000        550.00000000000000       -1.1622063120341473      -0.85327444669606134     
   550.00000000000000        560.00000000000000       -1.0034133689586906      -0.79148779594506868     
   560.00000000000000        570.00000000000000      -0.87162425395793519      -0.71210875883557645     
   570.00000000000000        580.00000000000000      -0.75141767836917250      -0.67070101112883351     
   580.00000000000000        590.00000000000000      -0.65727468978073456      -0.61322908696780243     
   590.00000000000000        600.00000000000000      -0.55663613457952110      -0.50569622604219033     
   600.00000000000000        610.00000000000000      -0.48530596610677201      -0.46952824959674166     
   610.00000000000000        620.00000000000000      -0.41470743701329410      -0.41637886119317175     
   620.00000000000000        630.00000000000000      -0.35600706784630815      -0.39737528697651725     
   630.00000000000000        640.00000000000000      -0.29800762504260092      -0.33789800783078677     
   640.00000000000000        650.00000000000000      -0.25412043054311323      -0.33607114771716468     
   650.00000000000000        660.00000000000000      -0.21482671861687408      -0.34516318003116037     
   660.00000000000000        670.00000000000000      -0.17553902445212957      -0.27777633033108728     
   670.00000000000000        680.00000000000000      -0.14527460312255810      -0.24381788443628058     
   680.00000000000000        690.00000000000000      -0.11778622858819922      -0.23266925109574954     
   690.00000000000000        700.00000000000000       -9.4175214911854863E-002 -0.22972065982930093     
   700.00000000000000        710.00000000000000       -7.1324631557391369E-002 -0.18976322785616140     
   710.00000000000000        720.00000000000000       -5.8775258468886815E-002 -0.18544201400240723     
   720.00000000000000        730.00000000000000       -4.2721854613533838E-002 -0.17266022997977212     
   730.00000000000000        740.00000000000000       -2.2527427550213888E-002 -0.15750731655550576     
   740.00000000000000        750.00000000000000       -1.4682753735388493E-002 -0.14067481806663701     
   750.00000000000000        760.00000000000000       -3.9143331752309633E-003 -0.14436124924840396     
   760.00000000000000        770.00000000000000        4.2179392889510744E-003 -0.12112655639982074     
   770.00000000000000        780.00000000000000        1.2802743893433541E-002 -0.12468622401891631     
   780.00000000000000        790.00000000000000        1.4565747355694372E-002 -0.12217031183416371     
   790.00000000000000        800.00000000000000        2.0004546379506456E-002 -0.10299562468758000     
   800.00000000000000        810.00000000000000        2.8931106556967776E-002 -0.10162089501006395     
   810.00000000000000        820.00000000000000        3.3270410580416042E-002  -8.4479298622942192E-002
   820.00000000000000        830.00000000000000        3.4573386756901955E-002  -8.6042036155157445E-002
   830.00000000000000        840.00000000000000        3.8989770401463487E-002  -8.2160644900562393E-002
   840.00000000000000        850.00000000000000        3.9921291100468714E-002  -8.4718816866595714E-002
   850.00000000000000        860.00000000000000        4.2377478996776435E-002  -6.3758822160384601E-002
   860.00000000000000        870.00000000000000        4.2035989689325239E-002  -8.1089846618828593E-002
   870.00000000000000        880.00000000000000        4.3437482296090839E-002  -7.0258278744304806E-002
   880.00000000000000        890.00000000000000        4.5848570953657408E-002  -5.8132705078063722E-002
   890.00000000000000        900.00000000000000        4.4989518951151213E-002  -5.3692310649205287E-002
   900.00000000000000        910.00000000000000        4.4645235333142151E-002  -5.6703072327184016E-002
   910.00000000000000        920.00000000000000        4.4533523304726180E-002  -4.3724169893810193E-002
   920.00000000000000        930.00000000000000        4.6696394251795809E-002  -4.8032174594242395E-002
   930.00000000000000        940.00000000000000        4.5474833920466827E-002  -5.1038483399225072E-002
   940.00000000000000        950.00000000000000        4.4393014724284002E-002  -4.3886359273876206E-002
   950.00000000000000        960.00000000000000        4.4239899185943350E-002  -4.0390298238241140E-002
   960.00000000000000        970.00000000000000        4.3688241270522475E-002  -4.0419547488855428E-002
   970.00000000000000        980.00000000000000        4.3269261645468952E-002  -3.7821584452316169E-002
   980.00000000000000        990.00000000000000        4.2894192557556769E-002  -3.6713937967265339E-002
   990.00000000000000        1000.0000000000000        4.0928015657023399E-002  -3.1780737992903776E-002
   1000.0000000000000        1010.0000000000000        4.0849277427303758E-002  -3.2132309736236563E-002
   1010.0000000000000        1020.0000000000000        3.9162997374662223E-002  -2.5835828124921592E-002
   1020.0000000000000        1030.0000000000000        3.8454130763524372E-002  -3.0204535896977053E-002
   1030.0000000000000        1040.0000000000000        3.7973974816548531E-002  -2.5795970406908453E-002
   1040.0000000000000        1050.0000000000000        3.6230863241418623E-002  -2.5834260352262925E-002
   1050.0000000000000        1060.0000000000000        3.6797315115261603E-002  -2.7526728756126707E-002
   1060.0000000000000        1070.0000000000000        3.5441208283214114E-002  -2.1270014706717189E-002
   1070.0000000000000        1080.0000000000000        3.3911773096670129E-002  -2.4114625840796277E-002
   1080.0000000000000        1090.0000000000000        3.3499916930749600E-002  -2.1863310624341728E-002
   1090.0000000000000        1100.0000000000000        3.2213521480331887E-002  -1.7988765870442885E-002
   1100.0000000000000        1110.0000000000000        3.2054591769876316E-002  -2.3065195204582643E-002
   1110.0000000000000        1120.0000000000000        3.0817557666491097E-002  -1.8264486074017851E-002
   1120.0000000000000        1130.0000000000000        3.0015639301372046E-002  -1.8725716303529170E-002
   1130.0000000000000        1140.0000000000000        2.8420799299727420E-002  -1.6739841011633953E-002
   1140.0000000000000        1150.0000000000000        2.7412874759326206E-002  -1.6820256555718640E-002
   1150.0000000000000        1160.0000000000000        2.7192314021289868E-002  -1.8831965840461835E-002
   1160.0000000000000        1170.0000000000000        2.6435272031600791E-002  -1.0999785426774100E-002
   1170.0000000000000        1180.0000000000000        2.6298043387187317E-002  -1.2701522601278515E-002
   1180.0000000000000        1190.0000000000000        2.4739725621407794E-002  -1.4047793250919283E-002
   1190.0000000000000        1200.0000000000000        2.3437422411348410E-002  -1.3181047687861875E-002
   1200.0000000000000        1210.0000000000000        2.3125378531603884E-002  -1.1383534645263040E-002
   1210.0000000000000        1220.0000000000000        2.3158842687772147E-002  -1.2296911334236793E-002
   1220.0000000000000        1230.0000000000000        2.1907135493874578E-002  -1.0145918651158152E-002
   1230.0000000000000        1240.0000000000000        2.0971460444967480E-002  -1.3487020697147941E-002
   1240.0000000000000        1250.0000000000000        2.1122919501919902E-002  -1.0910900854833996E-002
   1250.0000000000000        1260.0000000000000        2.0079591638401218E-002  -1.0598822727970823E-002
   1260.0000000000000        1270.0000000000000        1.8646339198449463E-002  -1.0372413643886323E-002
   1270.0000000000000        1280.0000000000000        1.8875271440609933E-002  -1.0155049155875125E-002
   1280.0000000000000        1290.0000000000000        1.8138095136425638E-002  -1.0828927660924213E-002
   1290.0000000000000        1300.0000000000000        1.7911858372204922E-002  -8.3361950585872698E-003
