 Scenerio II: m2=550GeV,m3=700GeV
 mu= 156.25 GeV
 for all of the numbers, unit is in pb
 LO QCD:    486.59451293945312      pb, NLO QCD:   219.79309082031250      pb,NLOW:   212.84232044219971      pb
 Total Cross Section is:   699.43683338165283     

 for M_ttbar distribution
 M_tt(min)             M_tt(max)                        delta\sigma_LO            delta\sigma_NLOW
   320.00000000000000        340.00000000000000        0.0000000000000000        0.0000000000000000     
   340.00000000000000        360.00000000000000        13.675849021996539        8.9060099055885100     
   360.00000000000000        380.00000000000000        35.873301174500703        19.094666260977110     
   380.00000000000000        400.00000000000000        41.388467763575406        21.226946164918218     
   400.00000000000000        420.00000000000000        41.521949179463405        20.146465783783356     
   420.00000000000000        440.00000000000000        39.285134519881211        20.305228731637971     
   440.00000000000000        460.00000000000000        35.955580970368743        16.204569247488070     
   460.00000000000000        480.00000000000000        32.409468926240820        13.847848022881069     
   480.00000000000000        500.00000000000000        28.776190610792163        12.676900384208446     
   500.00000000000000        520.00000000000000        25.408205957747491        10.144290073154050     
   520.00000000000000        540.00000000000000        22.318703757507873        9.0402774842484810     
   540.00000000000000        560.00000000000000        19.637282437100559        7.6061933821139665     
   560.00000000000000        580.00000000000000        17.166241030691527        7.1095541226892962     
   580.00000000000000        600.00000000000000        15.040436656316714        6.1531470669637534     
   600.00000000000000        620.00000000000000        13.193382220793806        4.9163944278729081     
   620.00000000000000        640.00000000000000        11.554310723539919        4.5159790280896690     
   640.00000000000000        660.00000000000000        10.189339009792981        4.0928842952114497     
   660.00000000000000        680.00000000000000        8.9203609970380384        3.4036996732828881     
   680.00000000000000        700.00000000000000        7.8675421122157925        2.8779470243435314     
   700.00000000000000        720.00000000000000        6.9424512180951794        2.4321753549710907     
   720.00000000000000        740.00000000000000        6.1225416470860123        2.2556908546379981     
   740.00000000000000        760.00000000000000        5.4364938275281123        1.9197645613421537     
   760.00000000000000        780.00000000000000        4.8065604733771314        1.6359474434552601     
   780.00000000000000        800.00000000000000        4.2637101351917206        1.4390892881372053     
   800.00000000000000        820.00000000000000        3.8049834355442114        1.3025545602491055     
   820.00000000000000        840.00000000000000        3.3820158422314375        1.1283880401321011     
   840.00000000000000        860.00000000000000        3.0151931053804004       0.98427456683658343     
   860.00000000000000        880.00000000000000        2.6812031211864200       0.95005019945061342     
   880.00000000000000        900.00000000000000        2.4179666005235485       0.81486562796227713     
   900.00000000000000        920.00000000000000        2.1576797037048312       0.65096237292539338     
   920.00000000000000        940.00000000000000        1.9416516071181724       0.68199821638835489     
   940.00000000000000        960.00000000000000        1.7474005022985630       0.50747977055074134     
   960.00000000000000        980.00000000000000        1.5719721989286393       0.44289375967832079     
   980.00000000000000        1000.0000000000000        1.3980271158135684       0.41122040322128617     
   1000.0000000000000        1020.0000000000000        1.2724185378354000       0.36531582291373865     
   1020.0000000000000        1040.0000000000000        1.1584630846901434       0.34896325773034087     
   1040.0000000000000        1060.0000000000000        1.0415630982006712       0.30883535014079749     
   1060.0000000000000        1080.0000000000000       0.95160848984584900       0.25812969242579303     
   1080.0000000000000        1100.0000000000000       0.86118920963423018       0.23640010336720943     
   1100.0000000000000        1120.0000000000000       0.77352325908510178       0.21493463510067287     
   1120.0000000000000        1140.0000000000000       0.71180885927840776       0.18984237181658303     
   1140.0000000000000        1160.0000000000000       0.64565538295724911       0.12669029098688070     
   1160.0000000000000        1180.0000000000000       0.58839480737116523       0.15147607329651541     
   1180.0000000000000        1200.0000000000000       0.53320354790563818       0.12687905555296936     
   1200.0000000000000        1220.0000000000000       0.48780321086508921       0.12980701705920383     
   1220.0000000000000        1240.0000000000000       0.44756914401231301       0.11027036766265326     
   1240.0000000000000        1260.0000000000000       0.40689506346856552        9.5445819610194535E-002
   1260.0000000000000        1280.0000000000000       0.37432775158882486        9.9130609758009886E-002
   1280.0000000000000        1300.0000000000000       0.34516234554711533        7.0329426533066952E-002

  ===========================================
 for transverse momentum distribution of top
 p_T(min)              p_T(max)                        delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000        20.000000000000000        11.860092886241180        7.3916142096476802     
   20.000000000000000        40.000000000000000        33.567326366789032        18.003366454114211     
   40.000000000000000        60.000000000000000        50.133222820358505        25.397228966026944     
   60.000000000000000        80.000000000000000        58.860851351104820        27.535177369170466     
   80.000000000000000        100.00000000000000        60.129254342569453        27.776412251253994     
   100.00000000000000        120.00000000000000        55.516485645607183        27.486589374489565     
   120.00000000000000        140.00000000000000        47.777001011256033        19.597551452246599     
   140.00000000000000        160.00000000000000        39.029437196081020        15.337345840417431     
   160.00000000000000        180.00000000000000        30.814844487485473        11.804576848184267     
   180.00000000000000        200.00000000000000        23.757167556162390        8.6756659115405022     
   200.00000000000000        220.00000000000000        18.039418381973320        6.5142280695905388     
   220.00000000000000        240.00000000000000        13.601883255313796        4.8295929187711142     
   240.00000000000000        260.00000000000000        10.224104851348189        3.4145185192829310     
   260.00000000000000        280.00000000000000        7.6898056411212261        2.5693018820703690     
   280.00000000000000        300.00000000000000        5.7936745119197806        1.9946336401079106     
   300.00000000000000        320.00000000000000        4.3849345020440804        1.3509256342239702     
   320.00000000000000        340.00000000000000        3.3444001159606160       0.97160816411512241     
   340.00000000000000        360.00000000000000        2.5636201696603576       0.73126188751849175     
   360.00000000000000        380.00000000000000        1.9786461675681193       0.51285618368456587     
   380.00000000000000        400.00000000000000        1.5323363269115335       0.40766066908722970     
   400.00000000000000        420.00000000000000        1.1926588616014455       0.28379852860340365     
   420.00000000000000        440.00000000000000       0.93994644230015523       0.21965471590933749     
   440.00000000000000        460.00000000000000       0.74502193317855403       0.15292310872332560     
   460.00000000000000        480.00000000000000       0.59165252313759042       0.12825159693758353     
   480.00000000000000        500.00000000000000       0.47231344820967286        8.7723331672442714E-002

  ===========================================
 for PT_tt 
 pT_tt(min)              pT_tt(max)                    delta\sigma_{LO QCD}        delta\sigma_{NLOW}
   0.0000000000000000        50.000000000000000        486.73185847123102       -39.013274904084767     
   50.000000000000000        100.00000000000000        0.0000000000000000        136.56639204656540     
   100.00000000000000        150.00000000000000        0.0000000000000000        52.926682315112963     
   150.00000000000000        200.00000000000000        0.0000000000000000        25.954583645311370     
   200.00000000000000        250.00000000000000        0.0000000000000000        14.207352012639351     
   250.00000000000000        300.00000000000000        0.0000000000000000        8.2675030261652900     
   300.00000000000000        350.00000000000000        0.0000000000000000        5.0317920239827982     
   350.00000000000000        400.00000000000000        0.0000000000000000        3.1625949706650691     
   400.00000000000000        450.00000000000000        0.0000000000000000        2.0124526157884413     
   450.00000000000000        500.00000000000000        0.0000000000000000        1.3310695074760763     

  ===========================================
 for rapidity distribution of top and anti-top 
 y(min)              y(max)                            delta\sigma^t_{LO QCD}      delta\sigma^t_{NLOW}                  delta\sigma^tbar_{LO QCD}   delta\sigma^tbar_{NLOW}
  -100.00000000000000       -3.0000000000000000        1.5318510513243098       0.96283959916951523        1.5208107801259261       0.86496905073244301     
  -3.0000000000000000       -2.5000000000000000        6.7276641765948000        3.2047276633646575        6.7388438853200539        3.1919647961591631     
  -2.5000000000000000       -2.0000000000000000        17.456005693109589        8.2009341662194810        17.400664268353303        7.8774963294966955     
  -2.0000000000000000       -1.5000000000000000        32.588870327436965        14.298893344028214        32.649541570995126        14.537456120810484     
  -2.5000000000000000       -1.0000000000000000        49.324114473635397        21.822158106448700        49.359597438993816        20.156855546289663     
  -1.0000000000000000      -0.50000000000000000        63.806958717161187        27.677725047550311        63.678794958807913        27.766876121310069     
 -0.50000000000000000        0.0000000000000000        71.982621759336809        30.849208503776385        72.031950603831532        31.196265289345316     
   0.0000000000000000       0.50000000000000000        71.965328981189316        30.823733133082577        72.069407375725589        32.833673967532981     
  0.50000000000000000        1.0000000000000000        63.734551290167602        27.239272486799692        63.642913467367350        27.287542656657500     
   1.0000000000000000        1.5000000000000000        49.290068751012484        21.220719633715493        49.331553139630699        21.592409930128454     
   1.5000000000000000        2.0000000000000000        32.612427817044257        14.672211330964371        32.605641280268443        14.286423265971541     
   2.0000000000000000        2.5000000000000000        17.460191887507790        8.0471385990576021        17.448614249312563        7.8736647423328803     
