#  rapidity of top quark
#
#  PARAMETERS:
#  -----------
#  PDFSETNAME =  CT10nlo
#  PDFSETTYPE =  1
#  PDFSUBSET =  0
#  N_ITERATIONS =  10
#  N_EVALUATIONS =  10000000
#  sqrt(Shad) =  14000
#  alphas(325 GeV) =  0.099085258416351
#  mt =  173.34
#  mphi1 =  500
#  mphi2 =  800
#  wphi1 =  30
#  wphi2 =  146.61
#  at1 =  0.8631
#  at2 =  -1.1572
#  bt1 =  0.9881
#  bt2 =  0.9881
#
#  COLUMNS:
#  --------
#   1. lower bin bound [dimensionless]
#
#   2. LO-2HDM full Vertex without interference [pb/1] @ mu = 325 GeV
#   3. LO-2HDM full Vertex without interference [pb/1] @ mu = 162.5 GeV
#   4. LO-2HDM full Vertex without interference [pb/1] @ mu = 650 GeV
#
#   5. LO-2HDM full Vertex with interference [pb/1] @ mu = 325 GeV
#   6. LO-2HDM full Vertex with interference [pb/1] @ mu = 162.5 GeV
#   7. LO-2HDM full Vertex with interference [pb/1] @ mu = 650 GeV
#
#   8. LO-2HDM eff Vertex without interference [pb/1] @ mu = 325 GeV
#   9. LO-2HDM eff Vertex without interference [pb/1] @ mu = 162.5 GeV
#  10. LO-2HDM eff Vertex without interference [pb/1] @ mu = 650 GeV
#
#  11. LO-2HDM eff Vertex with interference [pb/1] @ mu = 325 GeV
#  12. LO-2HDM eff Vertex with interference [pb/1] @ mu = 162.5 GeV
#  13. LO-2HDM eff Vertex with interference [pb/1] @ mu = 650 GeV
#
#  14. NLO-2HDM without interference [pb/1] @ mu = 325 GeV
#  15. NLO-2HDM without interference [pb/1] @ mu = 162.5 GeV
#  16. NLO-2HDM without interference [pb/1] @ mu = 650 GeV
#
#  17. NLO-2HDM with interference [pb/1] @ mu = 325 GeV
#  18. NLO-2HDM with interference [pb/1] @ mu = 162.5 GeV
#  19. NLO-2HDM with interference [pb/1] @ mu = 650 GeV
#
#  20. LO-QCD [pb/binsize] @ mu = 325 GeV
#  21. LO-QCD [pb/binsize] @ mu = 162.5 GeV
#  22. LO-QCD [pb/binsize] @ mu = 650 GeV
#
#  23. NLO-QCDW [pb/binsize] @ mu = 325 GeV
#  24. NLO-QCDW [pb/binsize] @ mu = 162.5 GeV
#  25. NLO-QCDW [pb/binsize] @ mu = 650 GeV
#
-3.5	0.00481151890796045	0.00661592940124545	0.00358012997172485	-0.00194256661833632	-0.00270251236169635	-0.00142083730430899	0.00211940549022018	0.00292731953473761	0.0015730947928753	0.00160354404285923	0.00211067146668111	0.00124014073314044	0.00111022	0.00122065	0.00102218	0.00160688	0.00135713	0.00202019	1.6599632903550876	2.2246485957028783	1.2662223475577530	1.3811357193175808	1.3789735994104388	1.2824115774458644
-3	0.0251899210550484	0.033323522651331	0.0194153343247561	0.000652004939875958	0.000605152675172128	0.000609192598876635	0.0108447309794918	0.0143852501484622	0.00832608598781325	0.0142018089409143	0.0182640908110642	0.0111809367991898	0.0104655	0.0112062	0.00931752	0.0137038	0.0159139	0.0115506	6.6483502144005673	8.6215933904977078	5.2248611716389872	4.5833575362186236	4.2640948123351432	4.4901270773308291
-2.5	0.0798509783369493	0.103407284819486	0.0626536439417085	0.0252667437495885	0.0310546920818994	0.0207546138428704	0.034040425937235	0.0443241496715746	0.0266197161153182	0.0622897329860568	0.07895120074227	0.0498429119587465	0.0485458	0.0537624	0.0432415	0.0854526	0.0930154	0.0776532	16.601574654068806	21.186537148736257	13.223796427874911	11.124169634343954	10.233958908720359	10.994735125535088
-2	0.174534914399708	0.223776403983873	0.138385007413759	0.0705725462858739	0.0858834159059054	0.0585557195816741	0.0746949791667464	0.0962766217939265	0.058918826686739	0.13921040268285	0.174447213370874	0.112489164844564	0.0784281	0.0828554	0.0707483	0.158099	0.167908	0.146989	30.347808262576990	38.455374180294100	24.312199351123208	18.741437448036901	16.947373644789099	18.785470522930876
-1.5	0.294676855566406	0.375744651282638	0.234675769771972	0.11830439799278	0.143160304826879	0.0983307086274229	0.126851061405623	0.162559042216514	0.100600337273354	0.235017879919098	0.293263074383782	0.19063783075909	0.140025	0.0304516	0.125495	0.229013	0.254031	0.204782	45.354742566895517	57.290790643919372	36.458413003876807	28.744666582305115	26.546171528694792	28.692309521797249
-1	0.380818989879436	0.484207028586959	0.304174118262376	0.159918026971721	0.193227698404934	0.133309692571131	0.166464429321929	0.212821870833614	0.132325673469934	0.30401825724503	0.378395344575472	0.247263780778983	0.172206	0.31524	0.153068	0.33591	0.383723	0.292336	58.236281619287325	73.458480434321743	46.860677778175557	36.433862090477781	33.210575363770893	36.322121292546754
-0.5	0.454030452639168	0.576645777350578	0.362930086537583	0.190832854952472	0.230858762672281	0.158980905333279	0.198455699152061	0.25346293926973	0.157904062395006	0.361167078322409	0.449514195204317	0.293835981073859	0.208931	0.237081	0.186195	0.409788	0.468577	0.365136	65.519143336841339	82.544527289452901	52.758335453866863	40.140125377938425	36.706190053683329	40.190130825184653
0	0.46400959683701	0.589388005831362	0.371067009796736	0.183323608420892	0.221577793551295	0.15308763513967	0.202127486285352	0.258109541868701	0.160875615645574	0.363201508700372	0.452293225407852	0.295377700981572	0.220709	0.238914	0.197252	0.388863	0.448322	0.341155	65.463490288081076	82.532336354033703	52.723709103331593	39.614087737461603	35.763987501732359	39.934901931848735
0.5	0.397855447821358	0.50575936806845	0.317797575026488	0.163258848860377	0.197474092564286	0.135851182969223	0.172541546315838	0.220507583585254	0.137193187588707	0.318176548684995	0.396223040985776	0.258631390465799	0.188521	0.206556	0.169605	0.372953	0.415056	0.333387	58.170658000583018	73.351725409338229	46.807540365846826	36.032651802230632	32.881585376594238	36.095403950606837
1	0.290458989463424	0.370162201998343	0.231361404654166	0.119640015808369	0.145053806531908	0.0995539967021933	0.125319398703038	0.160620378428272	0.0993745929306683	0.232860112739213	0.290688254379473	0.188908136610226	0.13573	0.149177	0.12097	0.238876	0.265837	0.212672	45.299722308641520	57.239653730844722	36.404262757707492	27.720602738515353	25.093925881397759	27.874018265877964
