# 2HDM incl. interference with QCD
# columns:
# bin, QCD-LO, 2HDM-LO, QCDW-NLO, 2HDM-NLO
60	15.720688234650000	0.0118955293372997	9.9611406452735682	0.00976163
80	15.740587220796339	0.0105167061942009	9.7867464673668181	0.00931901
100	14.211124148257746	0.00802093856516607	8.1541810135352346	0.00987502
120	11.957378383628276	0.00470359229749537	6.5861330359474373	0.00839647
140	9.5174215738387904	0.000860875651017945	5.1417836864252076	0.00606027
160	7.3253379038912056	-0.00445202967906994	3.9016138048603595	0.00920417
180	5.4886540052208401	-0.00748096579515904	2.8232420594717249	0.00804081
200	4.0615741789460937	-0.0060943354459256	2.0773956088515053	0.00565847
220	2.9834176472157345	-0.00408965948560216	1.4083311428175564	0.00310753
240	2.1819961161920971	-0.00179285806167419	0.99766708271074600	0.00077047
260	1.5999538796626676	-0.000825892778648658	0.71547224366531248	0.000109062
280	1.1739750755457123	-0.000396546330205909	0.49817678295992174	0.000119118
300	0.86764435739120227	-0.000189044261918053	0.34718011583630481	3.36352e-06
320	0.64183267768782615	-8.86979480064294e-05	0.25128479372199730	1.36481e-05
340	0.47802685330468381	-3.53802771513205e-05	0.17866450448484539	7.90658e-06
360	0.35880989081505094	-1.01986689366058e-05	0.12711043693571789	2.12829e-05
380	0.27261496331161100	1.82546246725679e-06	9.2516027004342083E-002	7.78932e-06
400	0.20703624182262356	6.81974991733875e-06	6.1863435790470003E-002	1.63223e-05
420	0.15856872696780377	8.42079707765496e-06	4.8336591670474570E-002	9.76103e-06
440	0.12219003909493979	8.58810941033297e-06	3.4035060178055125E-002	1.4251e-05
460	9.5085484972617026E-002	7.97427983503449e-06	2.6179519129456007E-002	9.75475e-06
480	7.3547089479996511E-002	6.77087558841955e-06	1.6114406903192668E-002	3.65175e-06
			
